generating_institute     gfz-potsdam
     generating_date     2015/10/23
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -6.0000000000000    
      latlimit_south      -20.000000000000    
      longlimit_west       319.00000000000    
      longlimit_east       329.00000000000    
            gridstep      0.10000000000000    
  latitude_parallels           141
 longitude_parallels           101
number_of_gridpoints         14241
            gapvalue           9999.0000
       weighted_mean     -6.3902939E+00 mgal
            maxvalue      2.7325794E+02 mgal
            minvalue     -1.2119740E+02 mgal
         signal_wrms      2.8036039E+01 mgal
         grid_format     long_lat_height_value
 
          longitude    latitude  h_over_geoid  gravity_disturbance
            [deg.]      [deg.]     [meter]         [mgal]
end_of_head ======================================================
           320.6000     -6.3000     259.00      -22.950981495384
           320.7000     -6.3000     212.00      -31.510497006160
           320.8000     -6.3000     203.00      -31.878285497378
           320.9000     -6.3000     221.00      -26.897565387252
           321.0000     -6.3000     230.00      -21.054417383226
           321.1000     -6.3000     280.00      -14.893260884996
           321.2000     -6.3000     149.00      -14.712011340556
           321.3000     -6.3000     175.00       -7.147454943279
           321.4000     -6.3000     649.00       47.552870256418
           321.5000     -6.3000     537.00       39.752023612749
           321.6000     -6.3000     491.00       35.083462510066
           321.7000     -6.3000     315.00       21.828137494140
           321.8000     -6.3000     405.00       14.580432302580
           321.9000     -6.3000     263.00       12.696181972593
           322.0000     -6.3000     275.00       12.399558605480
           322.1000     -6.3000     397.00       20.020554012490
           322.2000     -6.3000     636.00       24.313870061654
           322.3000     -6.3000     294.00        0.639242743539
           322.4000     -6.3000     215.00       -8.303087425965
           322.5000     -6.3000     188.00       -4.891376965688
           322.6000     -6.3000     159.00       -7.246371787417
           322.7000     -6.3000     125.00       -5.348687533235
           322.8000     -6.3000     135.00       -5.213131639614
           322.9000     -6.3000     209.00        4.647778828470
           323.0000     -6.3000     280.00       18.889932167809
           323.1000     -6.3000     376.00       29.970038167448
           323.2000     -6.3000     257.00       13.951356461384
           323.3000     -6.3000     275.00       21.399391623689
           323.4000     -6.3000     505.00       32.311834126197
           323.5000     -6.3000     350.00       31.857100622723
           323.6000     -6.3000     421.00       34.398588756623
           323.7000     -6.3000     635.00       47.233290635162
           323.8000     -6.3000     396.00       40.947331647700
           323.9000     -6.3000     308.00       22.041344529988
           324.0000     -6.3000     215.00       14.935655332060
           324.1000     -6.3000     185.00       16.482975313359
           324.2000     -6.3000     200.00       17.960499991965
           324.3000     -6.3000     167.00       22.754701372563
           324.4000     -6.3000     115.00       21.340423031191
           324.5000     -6.3000      88.00       27.286367285484
           324.6000     -6.3000      81.00       30.561624874359
           324.7000     -6.3000      50.00       27.342253582319
           324.8000     -6.3000      95.00       18.418607726289
           324.9000     -6.3000      44.00       17.988135289748
           325.0000     -6.3000       0.00       29.074216173974
           325.1000     -6.3000       0.00       63.146276119319
           325.2000     -6.3000       0.00       62.887231563558
           325.3000     -6.3000       0.00        6.619747533421
           325.4000     -6.3000       0.00      -30.315874595743
           325.5000     -6.3000       0.00      -35.699692928937
           325.6000     -6.3000       0.00      -15.012551837401
           325.7000     -6.3000       0.00       21.469240661531
           325.8000     -6.3000       0.00        2.666198559353
           325.9000     -6.3000       0.00      -27.522369764554
           326.0000     -6.3000       0.00      -38.150184408003
           326.1000     -6.3000       0.00      -44.067870352649
           326.2000     -6.3000       0.00      -38.546561867925
           326.3000     -6.3000       0.00      -26.762179171769
           326.4000     -6.3000       0.00      -22.454721430876
           326.5000     -6.3000       0.00      -18.436449490622
           326.6000     -6.3000       0.00      -15.054051375429
           326.7000     -6.3000       0.00      -11.828291610172
           326.8000     -6.3000       0.00        0.414291194417
           326.9000     -6.3000       0.00       -2.078785033888
           327.0000     -6.3000       0.00       -1.553731485515
           327.1000     -6.3000       0.00       -4.500509508532
           327.2000     -6.3000       0.00       -1.083412225000
           327.3000     -6.3000       0.00       -1.574362640788
           327.4000     -6.3000       0.00       -5.591213044553
           327.5000     -6.3000       0.00       -1.609649950218
           327.6000     -6.3000       0.00       -4.615557459609
           327.7000     -6.3000       0.00       -5.070069129864
           327.8000     -6.3000       0.00       -2.850687824463
           327.9000     -6.3000       0.00       -6.739907021469
           328.0000     -6.3000       0.00       -5.788944737084
           328.1000     -6.3000       0.00       -7.405482380385
           328.2000     -6.3000       0.00       -7.463390328510
           328.3000     -6.3000       0.00       -8.429052259906
           328.4000     -6.3000       0.00      -12.561772310704
           328.5000     -6.3000       0.00       -8.826567611209
           328.6000     -6.3000       0.00      -13.507210450392
           328.7000     -6.3000       0.00      -10.149478794652
           328.8000     -6.3000       0.00       -8.946027822709
           328.9000     -6.3000       0.00      -12.870029271994
           329.0000     -6.3000       0.00      -13.938304388361
           319.0000     -6.4000     690.00       16.059182807382
           319.1000     -6.4000     614.00       16.152198950081
           319.2000     -6.4000     794.00       29.880229286583
           319.3000     -6.4000     492.00        4.829619175517
           319.4000     -6.4000     492.00        7.332122441994
           319.5000     -6.4000     446.00        2.650083341571
           319.6000     -6.4000     395.00        2.789461030162
           319.7000     -6.4000     385.00        0.955496827793
           319.8000     -6.4000     376.00        5.420582505344
           319.9000     -6.4000     350.00       -0.672444080330
           320.0000     -6.4000     368.00       -1.862699945399
           320.1000     -6.4000     381.00       -0.715964177012
           320.2000     -6.4000     500.00        6.535201379698
           320.3000     -6.4000     444.00        0.194561529554
           320.4000     -6.4000     303.00      -13.508635379900
           320.5000     -6.4000     292.00      -16.723247358463
           320.6000     -6.4000     234.00      -28.416803339759
           320.7000     -6.4000     217.00      -33.070234425736
           320.8000     -6.4000     223.00      -28.462827106601
           320.9000     -6.4000     263.00      -27.515177688819
           321.0000     -6.4000     183.00      -22.422470468442
           321.1000     -6.4000     166.00      -19.095431098037
           321.2000     -6.4000     182.00      -17.886725154348
           321.3000     -6.4000     379.00        2.857066684925
           321.4000     -6.4000     745.00       44.529681878558
           321.5000     -6.4000     457.00       33.188961744557
           321.6000     -6.4000     598.00       33.939987651976
           321.7000     -6.4000     305.00       13.840074357141
           321.8000     -6.4000     342.00       15.188190174875
           321.9000     -6.4000     330.00       17.923310738333
           322.0000     -6.4000     321.00       16.510329381703
           322.1000     -6.4000     405.00       15.135137568656
           322.2000     -6.4000     296.00        2.542129262295
           322.3000     -6.4000     248.00       -7.932999873894
           322.4000     -6.4000     243.00       -9.977201342615
           322.5000     -6.4000     196.00       -7.279330529819
           322.6000     -6.4000     156.00       -8.035226322001
           322.7000     -6.4000     174.00       -4.245969429739
           322.8000     -6.4000     149.00       -2.539466010631
           322.9000     -6.4000     166.00        2.880809212513
           323.0000     -6.4000     252.00       15.258477172964
           323.1000     -6.4000     253.00       20.066747697989
           323.2000     -6.4000     226.00       14.097540899449
           323.3000     -6.4000     294.00       21.767522368954
           323.4000     -6.4000     394.00       32.634254370656
           323.5000     -6.4000     511.00       35.880988075121
           323.6000     -6.4000     398.00       32.426488717441
           323.7000     -6.4000     629.00       48.525096232943
           323.8000     -6.4000     643.00       53.300976044923
           323.9000     -6.4000     326.00       29.851882511522
           324.0000     -6.4000     298.00       17.354624771215
           324.1000     -6.4000     234.00       18.983795918537
           324.2000     -6.4000     259.00       26.039411624446
           324.3000     -6.4000     311.00       31.344158203339
           324.4000     -6.4000     161.00       17.997490003197
           324.5000     -6.4000     111.00       18.693702871175
           324.6000     -6.4000      85.00       23.001558311364
           324.7000     -6.4000     151.00       29.837953249157
           324.8000     -6.4000      65.00       21.490298520099
           324.9000     -6.4000      10.00       10.123918267091
           325.0000     -6.4000      49.00       21.236294920612
           325.1000     -6.4000       0.00       38.079354221843
           325.2000     -6.4000       0.00       74.052222342758
           325.3000     -6.4000       0.00       34.501021019295
           325.4000     -6.4000       0.00      -11.671707395422
           325.5000     -6.4000       0.00      -29.857188117965
           325.6000     -6.4000       0.00      -17.066740133309
           325.7000     -6.4000       0.00        6.911458138248
           325.8000     -6.4000       0.00       50.157621193492
           325.9000     -6.4000       0.00       35.182405162537
           326.0000     -6.4000       0.00        1.899632701097
           326.1000     -6.4000       0.00      -34.244162468333
           326.2000     -6.4000       0.00      -46.173450098408
           326.3000     -6.4000       0.00      -35.057434181596
           326.4000     -6.4000       0.00      -32.182776237377
           326.5000     -6.4000       0.00      -26.845934652364
